,shortcode,date,hashtags,caption,locationid,lat,lng,age,ethnicity,gender,duration,movement,weight,comments,reps
0,BkqekaagbsP,2018-06-30 21-24-23,darwin;bodybuilding;strong;powerlifting;philheath;shredding;bulking;deadlift;bench;squat;legday;backday;chestday;abs;shredded;protein;quads;ifbbaustralia;ifbb;supplements;chest;workout;fitspo;fitness;motivation;shred;benchpress;fitfam;followforfollow,Saturday arm session with muff muff arms feeling like spaghetti now 👌,1024215362,-12.37481,130.88276,0,UNK,UNK,50.67,UNK,-1,UNK,
1,BjCXi8lBwi4,2018-05-21 11-01-37,aunty;loveher;niece,GEORGIA May You my dear are my fav little human This kid couldn’t be any more like myself hahaha her passion and conviction in her performance is fkn powerful lol 😂 Her anger towards the end as if she’s been hurt by someone is deep 🤣 kid has big emotions one day she will eventually learn how to reign them in and control them but until then it’s gunna be a roller coaster ride G,UNK,UNK,UNK,0,UNK,UNK,60.0,UNK,-1,UNK,
2,BkICIP1AQis,2018-06-17 12-20-06,sundayworkout;HIIT;fitnessjourney;fitnessworkout;fitnessmotivation;personaltraining;befitbycosta,Sunday HIIT workout💪💪💪,227561342,52.5833,-0.25,0,UNK,UNK,60.0,UNK,-1,UNK,
3,BvgWFS8B_kB,2019-03-27 08-43-18,bali;civetcat;coffeepoop;indonesia;holidays;amazing,Civet Cat in Ubud 🥥🌎🙏🏻🌿✈️ So soft and cute Don’t poop on me please 🙏🏻,278962442943320,-8.5085729994,115.2650829366,0,UNK,UNK,14.69,UNK,-1,UNK,
4,B0u2IpbAo5D,2019-08-04 06-26-57,,Ride or Die bitch 🖤👑,UNK,UNK,UNK,0,UNK,UNK,3.733,UNK,-1,UNK,
5,BzGaqVwn6vo,2019-06-24 17-06-53,bodybuilder;bodybuilding;fitness;gym;muscle;workout;fit;fitnessmotivation;motivation;gymlife;fitfam;shredded;fitnessmodel;abs;body;gymmotivation;training;gains;instafit;physique;bodybuildingmotivation;fitspo;fitnessaddict;lifestyle;strong;health;personaltrainer;nopainnogain;muscles;bhfyp,🎃 Believe you are the best Call it arrogant call if vain but to make progress you have to be confident,UNK,UNK,UNK,0,UNK,UNK,16.6,UNK,-1,UNK,
6,BtA4G2CHM0L,2019-01-24 10-21-25,personaltraining;nevergiveup;personaltrainer;fitnessmotivation;fitness;fitnessgirl;fitnessjourney;weightlossjourney;weightlosstransformation;weightloss;healthy;healthylifestyle;energiefitnesspeterborough,Awesome class fantastic members looking forward for the new time table next month 👍💪,800983196703045,52.57434,-0.24614,0,UNK,UNK,9.0,UNK,-1,UNK,
7,BnqcE6UAxeW,2018-09-13 10-37-10,squat;safetybar;squatbooty;trainthepeach;ehf;lift;squatrack;pt;personaltrainer;elitesuppsaustralia;empiregymwagga,Squats for the 🍑 Squats for the Quads 💪🏾,UNK,UNK,UNK,0,UNK,UNK,30.87,UNK,-1,UNK,
8,BsNQAHxDKMc,2019-01-04 09-08-38,highprotein;bodybuildingmotivation;benchpress;lifting;gymselfie;flexing;armsworkout;arms;biceps;power;powerlifting;deadlift;fitfam;abs;fitnessmotivation;motivation;pushworkout;workoutmotivation;workout;gymlife;fitness;fitfam;transformation,It’s taken a long time but I’ve finally managed 200kg for 2 conventional Second one was a real struggle,1020453330,53.816146771,-1.604297609,0,UNK,UNK,21.74,UNK,-1,UNK,
9,BxEoDFoj7zr,2019-05-05 07-23-00,gymtime;gymmotivation;fitnessmotivation;healthylifestyle;upperbodyworkout;strongwomen,UPPER BODY TRAINING This is one of the sessions in my program BUILD 💪 These were the movements 1 Close Grip Bench Press 2 Floor Press 3 Lat Pull Down Underhand Grip 4a Bodyweight Skull Crushers 4b Inverted Barbell Rows 5a Incline Dumbbell Fly 5b Bent Over Dumbbell Reverse Fly Song 🎵 Hoober Coopex ‘Sacrament’,UNK,UNK,UNK,0,UNK,UNK,38.339,UNK,-1,UNK,
10,BnoJpkfBaXu,2018-09-12 13-21-02,bootcamp;glasgow;personaltraining;personaltrainer;training;fatloss;weightloss;musclebuilding;fitness;fitnessmotivation;fitnesslife;fitnessjourney;fitfam;fitlife;fitspiration;weights;weighttraining;squats;powerlifting;strength;strong;strongisnotasize;girlswholift;strongnotskinny;gym;gymlife;learntolift;learntoliftbootcamp;learntolifttraining,The Squats were on fire last night🔥🏋️‍♀️🏋️ The weights are starting to get up ⬆️ there and new PBs 🏆 were being hit across the board 💪 Everyone is doing so well we might have to buy more weight plates again a good problem to have 😁 Nice one guys 🙌,552725738270459,55.8551675501,-4.2746841999,0,UNK,UNK,26.13,UNK,-1,UNK,
11,BtA1WAnhBqm,2019-01-24 09-56-07,,Credit 🔥BOOTY BANDED BURNOUT🔥 Tag a friend and give this a try👇🏼 ✖️Banded walking squats straight into banded kettle bell stiff leg deadlifts 12 reps then banded walking squats back and straight into banded kettle bell squat pulses10 reps😈 ✖️15 MIN REST BETWEEN SETS FOR 4 SETS Follow for more amazing workouts and fit tips❤️,UNK,UNK,UNK,0,UNK,UNK,58.87,UNK,-1,UNK,
12,BzSe50uHki_,2019-06-29 09-34-30,triceps;biceps;fitness;gym;bodybuilding;workout;motivation;muscle;fitnessmotivation;fit;abs;arms;chest;training;fitfam;gains;gymlife;shoulders;diet;bodybuilder;tricepsworkout;aesthetics;gymmotivation;personaltrainer;lifestyle;arnoldschwarzenegger;squats;shredded;armday;bhfyp,With chest we always do triceps 💧 🦍,221309383,52.4083333333,0.5566666667,0,UNK,UNK,59.36600000000001,UNK,-1,UNK,
13,BysBuPnnFu0,2019-06-14 11-09-01,fit;fitfam;fitnessjourney;nopainnogain;fitness;bootcamp;personaltrainer;peterborough,Come join us tomorrow on the embankment at 1030am for Costas Bootcamp All ages all abilities are catered for £500 per person for an hour of fun fitness Meet on the embankment or in Bewiched for a preworkout coffee chat with the gang from 1000 am 💪👍,UNK,UNK,UNK,0,UNK,UNK,26.55,UNK,-1,UNK,
14,BiDEGqphvKe,2018-04-26 20-58-43,fitness;fitnessjourney;weightloss;healthylifestyle;behealthy;tabataworkout;burpees;weightloss;deadlifts;womenpower;personaltrainer;befitbycosta,So proud of his hard work and determination 100 kg barbell row💪💪💪If you can dream it you can do it If you want to be in the best shape of your life and train with the best contact me for personal training at 07785611446,227561342,52.5833,-0.25,0,UNK,UNK,14.0,UNK,-1,UNK,
15,B0MJu0lnoN7,2019-07-21 19-04-55,squats;resistancebandsworkout;legsworkout;legs;glutes;bootybuilding;fitgirls;fitwomen;workoutmotivation;workout;exercise;liftweights;girlswantgains;bodybuildinglifestyle;weightlossjourney;healthylifestyle;fitness;exercise;fitfam;resistancebands,repost via from Banded Activity to get you feeling hot bothered When I do bodyweight HIIT I love adding some bands to make it intensified The hardest was the last exercise Which one would you like to try ✖️Squat side taps into Jump ✖️Opens into Butt kicks ✖️Leg Raise Opens ✖️Air Bikes ✖️Single Leg Lunge Jump,UNK,UNK,UNK,0,UNK,UNK,28.266,UNK,-1,UNK,
16,BqejtGoD1V9,2018-11-22 09-25-17,motivation;fitnessmotivation;fitspo;fitspiration;fitness;fitnesslife;fitnesscoach;gymapparel;gymwear;weighttraining;weights;weightlifting;weightliftingjourney;liftingheavy;liftinglarge;liftheavy;weightliftinglife;lifting;justlift;liftlife;instalift;doyouevenlift;guyswholift;beastmode;gym;gymlife;bodybuilding;trainhard,adan pushing the squats to the max this morning trying to get better depth under heavy load 130kg today well done mate progress everyday,1020453330,53.816146771,-1.604297609,0,UNK,UNK,21.71,UNK,-1,UNK,
17,Be5HCt6jDI8,2018-02-07 10-37-38,highprotein;strong;cutting;gym;gymselfie;lifting;weights;heavylifting;hiit;hiitworkout;healthy;weightloss;weightlossjourney;weightlifting;lowcarb;bodybuilding;sixpackabs;musclebuilding;abs;fullbodyworkout;gymrat;newbalance;tattoos;tatts;eatclean;eatcleantraindirty;cleaneating;intermittentfasting;fasting;myyellowgym,To celebrate passing level 2 I got a PB on left press with 400kg for 2 good reps and 3 shit reps 😂😂,1045775898900388,53.80351,-1.5799399,0,UNK,UNK,19.0,UNK,-1,UNK,
18,BTQ3PX6giUN,2017-04-24 09-43-17,highprotein;strong;cutting;gym;gymselfie;lifting;weights;heavylifting;hiit;hiitworkout;healthy;weightloss;weightlossjourney;weightlifting;lowcarb;bodybuilding;sixpackabs;musclebuilding;abs;fullbodyworkout;gymrat;newbalance;tattoos;tatts;eatclean;eatcleantraindirty;cleaneating;intermittentfasting;fasting,Full body weight exercise today Flag time ⛳️,230466545,,,0,UNK,UNK,4.966,UNK,-1,UNK,
19,BlrYEZihFBt,2018-07-26 02-17-22,sun;tanning;beach;swims;daddydaughtertime;airlie;airliebeach;home,Pretty much sums up my last week at airlie ❤️❤️❤️,213574829,-20.2675,148.717,0,UNK,UNK,6.84,UNK,-1,UNK,
20,BwY6MZjDWHy,2019-04-18 07-55-58,squats;squatting;strengthshopuk;power;powerlifting;powerliftinglife;lifting;gym;gymlife;puregymkirkstall;tattoos;benchpress;squats;fitnessmotivation;fitness;backworkout;backday;pushday;pullday;legday;bulk;bulking,Trying out my knew strength shop Odin knee sleeves and they are actually really good I use strength shop Thor’s wraps on really heavy lifts but for back offs and not so heavy days these are perfect,1020453330,53.816146771,-1.604297609,0,UNK,UNK,30.75,UNK,-1,UNK,
21,BzSfLpRHxJK,2019-06-29 09-37-19,hiit;fitness;gym;workout;cardio;training;motivation;fitfam;fit;f;fitnessmotivation;personaltrainer;weightloss;hiitworkout;exercise;health;crossfit;abs;fitspo;goals;bodybuilding;boxing;running;gymlife;personaltraining;strength;healthy;healthylifestyle;instafit;bhfyp,HIIT outside in the ☀️ 20 seconds on each exercise 60 seconds of hell lol Sweat ✔️ burn ✔️ fat crying ✔️,221309383,52.4083333333,0.5566666667,0,UNK,UNK,58.86600000000001,UNK,-1,UNK,
22,BlihuMcBKDt,2018-07-22 15-52-29,bootcamp;glasgow;personaltraining;personaltrainer;training;fatloss;weightloss;musclebuilding;fitness;fitnessmotivation;fitnesslife;fitnessjourney;fitfam;fitlife;fitspiration;weights;weighttraining;deadlift;deadlifts;powerlifting;powerliftingmotivation;powerbuilding;strength;strong;gym;gymlife;learntolift;learntoliftbootcamp;learntolifttraining,6 weeks ago had a Deadlift PB of 1525 kg as of yesterday its increased a full 175 kg to 170 📈💪 Superb progress from Stuart and definitely even more to come soon 🙌,552725738270459,55.8551675501,-4.2746841999,0,UNK,UNK,4.95,UNK,-1,UNK,
23,BzDltu_nsWN,2019-06-23 14-51-54,powerlifter;powerlifting;crossfit;bodybuilder;bodybuilding;fit;deadlift;deadlifts;legday;fitness;exercise;train;training;personaltraining;personaltrainer,Nice PR today 405x3 on deficit deads standing on a 100 plate Being a lifetime sumo deadlifter deficit conventional has always been a challenge but these felt very good Especially after 7 working sets of squat consisting of 46 reps with 75 6x6 then AMRAP of 10 As Dave Tate would say going from shit to suck on this exercise,234620334,40.8278696297,-74.0997448259,0,UNK,UNK,16.133,UNK,-1,UNK,
24,Bhr6v4FBHH6,2018-04-17 21-14-17,fitness;fitnessjourney;weightloss;healthylifestyle;behealthy;tabataworkout;burpees;weightloss;deadlifts;womenpower;personaltrainer;befitbycosta,Only hard work and determination can make your dreams come true💪💪💪💪If you want to be in the best shape of your life Contact me for Personal Training at 07785611446 Now offering ONLINE PERSONAL TRAINING Weekly support 247 support Nutritional advice Location independent Great value for the money,1017348922,52.5693370676,-0.2365003189,0,UNK,UNK,60.0,UNK,-1,UNK,
25,BtwYoS1BWnG,2019-02-11 21-09-56,nabbawff;posingpractise;msphysique;Nationals;SeasonB;compprep;bodybuilding,Posing practise Practise makes perfect they say bykaz wffnsw,UNK,UNK,UNK,0,UNK,UNK,39.249,UNK,-1,UNK,
